VIN,ETA,CODE,PLANT,DDA
BBA00000000000001,2021-08-01 00:01:00,F49,TX,CD
BBA00000000000144,2021-08-01 00:01:00,G08,DD,XA
BBA00000000000002,2021-08-01 00:02:00,G28,TX,XA
BBA00000000000145,2021-08-01 00:02:00,G38,DD,XA
BBA00000000000003,2021-08-01 00:03:00,G20,TX,ZZ
BBA00000000000146,2021-08-01 00:03:00,G08,DD,XA
BBA00000000000004,2021-08-01 00:04:00,G28,TX,CD
BBA00000000000147,2021-08-01 00:04:00,G08,DD,CD
BBA00000000000005,2021-08-01 00:05:00,F49,TX,CD
BBA00000000000148,2021-08-01 00:05:00,G08,DD,ZZ
BBA00000000000006,2021-08-01 00:06:00,G20,TX,XA
BBA00000000000149,2021-08-01 00:06:00,G08,DD,CD
BBA00000000000007,2021-08-01 00:07:00,G20,TX,CD
BBA00000000000150,2021-08-01 00:07:00,G08,DD,XA
BBA00000000000008,2021-08-01 00:08:00,F39,TX,CD
BBA00000000000151,2021-08-01 00:08:00,G38,DD,XA
BBA00000000000009,2021-08-01 00:09:00,F49,TX,CD
BBA00000000000152,2021-08-01 00:09:00,G08,DD,XA
BBA00000000000010,2021-08-01 00:10:00,G28,TX,XA
BBA00000000000153,2021-08-01 00:10:00,G08,DD,CD
BBA00000000000011,2021-08-01 00:11:00,F52,TX,CD
BBA00000000000154,2021-08-01 00:11:00,G08,DD,ZZ
BBA00000000000012,2021-08-01 00:12:00,F49,TX,CD
BBA00000000000155,2021-08-01 00:12:00,G08,DD,ZZ
BBA00000000000013,2021-08-01 00:13:00,G28,TX,ZZ
BBA00000000000156,2021-08-01 00:13:00,G38,DD,XA
BBA00000000000014,2021-08-01 00:14:00,G28,TX,CD
BBA00000000000157,2021-08-01 00:14:00,G08,DD,CD
BBA00000000000015,2021-08-01 00:15:00,F49,TX,CD
BBA00000000000158,2021-08-01 00:15:00,G08,DD,CD
BBA00000000000016,2021-08-01 00:16:00,G28,TX,CD
